
"WF01BEW - Location of usual residence and place of work (OA level)"
"ONS Crown Copyright Reserved [from Nomis on 8 December 2020]"
"Population :","All usual residents ages 16 and over in employment the week before the census"
"Units      :","Persons"
"Date       :","2011"

 ,"place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work","place of work"
"E01014642 : Bristol 007B",0,1,0,3,2,0,1,2,0,1,2,1,2,5,17,6,4,6,6,1,9,0,1,0,0,0,2,8,1,2,3,5,2,1,1,4,0,2,27,12,4,2,10,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,8,6,3,6,1,1,1,1,1,1,1,6,0,0,1,2,0,0,0,0,1,0,0,0,1,0,2,1,1,0,0,0,1,0,0,4,5,1,0,1,1,0,0,2,0,0,0,1,0,5,0,1,2,5,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,2,0,11,22,21,9,12,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,4,0,2,0,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,10,2,4,0,2,0,3,4,0,0,0,0,1,1
"E01014643 : Bristol 007C",2,0,0,2,1,1,0,2,0,1,0,0,0,1,14,3,0,3,7,0,1,1,0,0,0,1,2,4,0,3,6,1,6,8,1,7,3,1,32,17,6,4,2,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4,0,2,2,8,2,4,8,0,3,1,1,0,0,0,3,0,0,1,4,1,0,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,0,1,0,4,0,2,1,0,0,0,5,1,0,0,0,1,9,0,2,5,4,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,1,0,1,4,11,21,6,9,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,6,2,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,2,0,0,0,0,1,0,0,2,2,5,11,5,1,1,1,0,0,4,0,0,0,0,0,0
"E01014644 : Bristol 007D",7,1,0,0,0,1,2,2,0,0,0,0,0,1,17,7,1,3,8,0,9,0,0,0,0,2,9,10,0,0,9,5,2,9,0,9,2,3,27,17,2,1,6,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,2,3,0,8,4,1,9,1,0,2,1,0,0,1,5,2,0,2,6,0,1,0,0,0,0,0,2,0,0,1,3,0,0,1,1,0,0,1,6,8,0,1,2,1,0,1,8,1,0,0,0,0,11,0,2,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,3,2,11,14,26,12,8,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,0,1,0,2,1,1,2,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,12,8,1,0,0,1,0,1,3,0,1,0,0,0,0
"E01014492 : Bristol 008A",2,1,0,3,4,0,0,1,0,5,0,0,1,7,31,4,0,4,8,2,5,0,1,0,0,2,0,7,3,0,1,3,2,0,1,18,1,3,52,23,3,2,5,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,3,1,4,2,0,4,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,2,1,0,1,0,2,0,0,1,3,1,2,0,0,1,1,2,0,0,0,0,0,10,0,2,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,0,4,15,23,11,10,2,0,0,0,0,0,0,1,1,3,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,1,0,0,0,0,1,0,0,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,10,8,0,0,2,0,0,1,0,1,0,0,0,0
"E01014493 : Bristol 008B",0,0,1,4,3,4,1,1,0,1,0,0,0,2,34,5,0,7,9,0,1,0,0,2,0,0,3,3,5,0,0,3,0,1,2,35,8,8,69,43,0,0,2,2,0,0,0,0,3,0,0,1,0,0,0,2,2,0,1,0,0,1,0,0,1,0,1,8,3,1,3,0,0,0,0,1,0,1,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,1,1,0,0,5,0,0,0,0,2,9,0,3,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,2,0,6,11,10,9,8,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,4,0,0,1,4,1,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,3,1,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,18,6,1,1,1,0,0,2,0,0,0,0,0,0
"E01014494 : Bristol 008C",1,1,0,0,2,1,0,2,0,3,0,0,3,5,39,0,1,6,7,0,0,0,1,0,0,0,0,4,3,0,1,4,2,0,0,25,11,12,68,28,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,2,2,0,2,1,0,0,0,0,0,0,3,1,0,2,3,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,1,1,0,3,0,2,0,0,1,0,3,0,0,0,1,1,8,0,3,3,4,2,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,0,5,0,11,23,21,10,15,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,0,1,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,0,3,0,1,1,0,4,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,21,5,2,0,2,0,0,1,0,1,0,2,0,0
"E01014495 : Bristol 008D",3,2,0,2,1,0,0,2,0,4,0,0,1,4,50,10,1,5,10,1,3,0,1,0,0,0,2,8,1,1,0,4,3,1,0,30,4,12,70,29,1,1,2,1,0,1,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,2,1,1,3,6,0,2,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,2,0,0,0,0,0,17,0,1,3,10,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,4,1,2,2,6,15,23,5,18,0,0,0,0,0,0,0,8,0,2,0,0,1,0,1,4,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,4,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,11,14,3,1,0,2,0,4,8,1,0,0,1,0,0
"E01014496 : Bristol 008E",2,2,0,2,2,0,0,0,0,1,0,0,1,3,84,3,2,3,6,0,0,1,0,0,0,0,3,4,1,0,0,1,1,1,0,10,0,4,155,77,2,1,3,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,5,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,1,1,0,0,1,5,0,0,0,1,0,11,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,12,11,8,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,1,7,1,0,1,0,0,0,0,5,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,10,8,2,0,0,1,0,1,4,0,2,0,0,0,0
"E01014499 : Bristol 008F",2,2,0,1,1,2,0,0,0,3,0,0,1,4,73,6,0,3,7,0,0,0,0,0,0,0,2,6,2,0,0,1,1,0,0,28,5,4,98,57,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,3,1,2,0,4,0,0,0,0,1,5,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,4,0,0,0,2,0,9,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,1,2,0,1,16,12,8,10,0,0,1,0,0,0,0,0,0,4,0,0,3,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,6,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,5,1,0,0,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,7,2,0,0,0,3,2,5,0,2,0,0,0,0
"E01014715 : Bristol 009A",1,1,0,1,0,0,3,2,0,6,0,0,2,4,1,1,0,0,17,0,2,0,0,0,0,0,8,13,1,5,1,0,0,0,0,1,1,1,7,3,13,1,17,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,0,0,0,2,0,0,0,0,2,5,1,0,0,2,2,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,6,8,1,0,0,1,0,1,2,0,0,0,0,2,0,8,0,4,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,2,3,2,12,25,38,14,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,19,20,4,1,0,0,0,4,2,0,0,0,0,0,0
"E01014716 : Bristol 009B",1,0,0,0,3,0,1,3,0,3,0,0,1,0,6,0,0,0,14,1,2,1,1,0,0,1,2,16,7,4,1,1,2,0,0,1,1,1,1,2,6,6,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4,3,0,4,1,2,0,0,0,1,1,6,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,1,0,6,3,3,1,0,0,0,0,1,6,0,0,0,1,1,5,0,4,6,4,2,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,3,4,1,9,20,33,16,24,2,0,0,0,0,0,0,0,1,2,0,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,9,19,3,1,0,2,0,2,1,0,0,0,0,0,0
"E01014717 : Bristol 009C",0,0,1,2,2,1,0,1,0,0,0,0,4,1,1,2,0,1,15,1,4,0,2,0,0,0,3,8,2,4,1,0,0,0,0,2,0,1,3,3,7,1,19,0,1,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,1,0,1,2,1,3,2,3,1,4,0,2,1,0,3,0,0,8,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,2,0,0,2,1,3,0,1,0,0,1,5,1,1,0,0,0,3,8,0,6,0,4,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,2,4,0,9,17,37,6,16,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,8,16,2,2,1,0,1,2,4,0,0,0,0,0,0
"E01014718 : Bristol 009D",1,1,0,0,0,1,0,0,0,3,0,0,1,0,2,2,0,0,10,0,3,2,0,1,0,3,6,6,2,7,0,0,0,0,0,0,0,1,2,2,6,0,5,8,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,2,2,3,0,3,0,2,0,2,0,0,1,0,2,1,4,0,1,1,0,0,1,0,0,0,0,0,2,0,1,3,1,0,0,1,1,0,0,3,0,0,0,1,2,0,0,4,0,0,0,2,0,9,0,5,0,2,5,1,0,0,0,0,0,0,0,0,0,1,0,2,2,0,6,3,1,0,12,19,27,13,15,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,23,14,5,0,1,0,0,1,2,0,3,0,0,0,1
"E01014510 : Bristol 010A",0,2,0,1,3,2,0,0,0,3,0,0,2,0,6,0,0,2,31,3,4,1,2,0,2,7,2,2,1,1,0,1,0,0,0,2,0,0,7,1,0,0,2,0,11,0,7,2,7,1,0,0,0,0,0,1,6,2,1,0,0,4,0,6,5,0,0,0,0,4,0,7,5,6,1,6,1,11,4,3,0,0,3,0,3,0,0,0,1,0,3,2,3,5,6,2,5,2,1,1,0,3,3,4,1,0,0,3,1,4,11,2,2,4,1,2,18,0,10,4,3,5,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,9,1,1,0,16,40,53,28,22,4,0,0,0,0,0,1,1,1,2,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,2,0,0,2,0,0,3,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5,6,24,35,13,1,4,1,0,5,2,1,0,0,0,1,1
"E01014635 : Bristol 010B",2,0,0,2,2,1,0,2,0,5,1,0,1,0,5,1,1,3,35,6,5,0,3,5,0,7,2,4,2,0,0,0,0,0,0,0,0,0,4,6,2,0,3,1,2,7,6,1,8,3,0,3,3,0,1,0,2,1,3,1,0,3,0,2,3,1,0,2,0,1,0,5,5,0,2,1,1,8,6,0,0,0,1,0,0,0,0,1,0,1,0,3,0,3,1,0,0,0,3,3,0,2,8,4,1,0,1,0,0,0,12,0,0,2,0,0,19,2,3,2,5,4,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,4,1,4,0,7,50,37,16,16,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,2,0,3,1,0,0,0,1,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,1,0,0,0,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,18,23,8,3,2,3,0,1,1,1,0,2,0,0,0
"E01014637 : Bristol 010C",0,0,0,0,1,0,0,0,0,3,0,0,0,2,1,0,0,3,16,1,10,1,4,0,0,2,3,4,1,0,0,0,2,0,0,0,0,0,3,3,1,0,1,0,3,0,10,1,4,2,0,0,0,1,0,0,7,0,2,0,0,3,0,3,1,0,0,0,0,0,0,3,5,4,1,0,3,7,7,0,0,1,2,0,0,0,0,1,0,0,0,2,1,2,3,2,0,0,0,0,0,3,4,5,0,0,0,2,0,3,10,0,0,1,0,1,17,0,6,2,2,6,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,4,6,0,11,35,33,17,23,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,8,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,12,15,8,0,0,0,1,3,2,1,0,0,0,1,2
"E01014662 : Bristol 010D",1,0,0,0,0,2,1,2,0,5,2,0,2,0,5,1,0,0,19,3,2,0,4,1,0,8,2,3,2,1,0,0,1,1,0,2,0,0,4,4,1,1,2,0,7,0,3,5,7,1,0,2,0,0,1,0,7,0,3,0,0,2,2,6,10,1,0,0,1,2,1,1,5,6,2,6,1,1,7,1,0,0,5,0,2,0,0,0,0,0,0,5,1,7,2,0,9,1,0,2,1,1,2,4,0,0,0,2,1,2,13,2,1,0,0,0,21,0,2,2,3,1,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,3,0,5,34,25,10,13,1,1,0,2,0,0,0,0,0,1,0,0,0,0,4,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,3,4,17,15,6,0,2,5,3,2,8,0,2,1,0,3,0
"E01014615 : Bristol 011A",0,0,0,1,0,1,1,2,0,2,0,0,1,2,2,0,0,0,12,4,4,1,0,0,0,4,12,5,0,0,0,0,0,0,0,0,0,0,2,2,1,0,5,0,0,2,0,0,15,3,2,2,1,0,0,0,2,0,1,1,0,1,0,4,2,0,1,0,2,0,1,0,2,0,1,1,1,0,7,2,1,3,4,0,0,0,0,0,0,1,2,1,1,4,0,1,2,0,1,1,0,3,0,2,2,0,0,0,1,1,7,0,0,3,1,0,14,0,1,1,6,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,7,6,0,17,21,31,12,16,4,0,0,0,0,1,2,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,3,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,14,17,6,1,0,2,1,0,1,2,0,3,0,0,0
"E01014617 : Bristol 011B",0,1,0,0,1,0,1,0,0,2,1,0,0,2,5,2,0,1,32,3,11,0,2,0,0,2,9,7,0,2,0,0,0,0,0,1,0,0,3,0,0,0,4,0,0,1,6,0,3,11,3,0,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,2,1,0,1,8,1,0,0,4,1,8,1,0,2,2,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,2,0,2,1,8,0,0,1,1,0,0,2,1,0,0,1,0,13,0,4,5,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,3,0,13,19,27,17,19,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,2,0,0,1,0,1,1,7,0,1,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,15,9,3,1,0,0,1,1,1,0,0,0,0,1,0
"E01014618 : Bristol 011C",0,0,0,0,0,0,1,1,0,7,1,0,1,0,3,2,0,0,20,0,7,0,2,0,0,3,23,4,2,6,0,0,0,0,0,0,1,0,1,1,1,0,6,0,1,0,1,1,5,5,4,1,0,0,0,1,3,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,5,1,0,1,0,2,6,3,0,1,2,0,1,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,1,2,3,0,1,2,0,1,2,9,0,0,0,1,1,8,0,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,10,21,36,9,13,2,0,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,5,19,23,4,1,1,0,0,1,2,0,0,0,0,1,0
"E01014620 : Bristol 011D",0,0,0,0,1,0,0,0,0,3,0,0,1,0,2,2,0,0,15,0,1,0,4,0,0,0,10,3,1,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,7,1,2,2,1,0,0,0,1,0,3,0,0,0,0,0,3,0,1,0,2,1,1,1,3,2,0,0,3,2,12,1,0,0,2,0,1,0,0,0,0,0,1,2,0,1,2,0,0,0,1,2,0,1,2,2,2,0,1,2,2,0,5,1,0,0,0,0,9,0,4,0,4,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,3,0,0,15,14,36,20,16,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,18,20,3,2,0,1,0,0,1,0,1,0,0,0,0
"E01014571 : Bristol 012A",2,0,0,1,0,0,0,1,0,1,0,0,0,1,3,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,6,1,1,0,29,6,13,0,1,3,0,3,19,0,0,1,0,1,0,0,2,2,0,1,0,4,2,0,0,2,0,1,1,1,0,4,0,2,0,1,0,2,0,1,0,3,6,5,0,0,2,1,0,0,3,4,1,0,13,1,0,0,0,0,17,1,2,1,2,2,0,1,1,0,1,5,0,0,0,1,0,2,0,0,0,0,0,0,0,5,23,27,5,12,2,0,1,1,0,1,0,2,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,3,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,3,17,18,10,0,2,2,1,0,2,1,1,6,0,0,4
"E01014577 : Bristol 012B",1,0,1,0,0,0,0,0,0,2,0,1,0,1,5,1,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,7,13,0,12,1,0,3,0,11,20,0,0,0,0,1,0,0,2,1,0,1,0,1,2,1,0,0,1,1,1,0,0,0,1,15,3,1,3,0,0,0,1,0,1,5,2,1,1,1,0,0,3,4,3,1,5,2,0,1,1,0,16,1,4,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,0,11,24,28,9,17,4,1,0,0,0,0,0,0,0,3,0,1,1,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,13,13,3,1,2,2,2,1,4,0,2,1,0,0,1
